,nifty50_NIFTY50,nse_sectoral_NIFTYBANK,nse_sectoral_NIFTYIT,nse_sectoral_NIFTYPHARMA,nse_sectoral_NIFTYFMCG,nse_sectoral_NIFTYAUTO,nse_sectoral_NIFTYREALTY,nse_sectoral_NIFTYFINNIFTY,nse_sectoral_NIFTYMETAL,nse_sectoral_NIFTYENERGY,nse_sectoral_NIFTYINFRA,nse_sectoral_NIFTYMIDCAP100,bse_SENSEX,commodities_GOLD_INR_ETF,commodities_SILVER_INR_ETF,commodities_GOLD_USD_FUT,commodities_SILVER_USD_FUT,commodities_CRUDE_WTI,commodities_CRUDE_BRENT,commodities_USDINR,etfs_ETF_NIFTY50,etfs_ETF_NIFTYBANK,etfs_ETF_NIFTYIT,etfs_ETF_GOLD,etfs_ETF_SILVER,etfs_ETF_LIQUID,etfs_ETF_GILT,etfs_ETF_MOTILAL_NIFTY50,cpi_CPI_FRED_CPI_Index,cpi_CPI_FRED_CPI_MoM,cpi_CPI_FRED_CPI_YoY,cpi_Bond_Yield_India_10Y_Yield,repo_rate_repo_rate
nse_sectoral_NIFTYINFRA,0.03104248969397358,0.04353151584670629,0.011298362052561866,0.01342683079898321,0.017208711632065995,0.03650977218789471,0.06321462485693807,0.0386673000732143,0.04557459620779635,0.036782906726144066,0.04590749222300076,0.03910268482416632,0.029867115732037118,-0.005125087919451286,-0.0023423773281442545,0.00334670043905706,0.011411186516566403,0.010292595623220787,0.010228880976318097,-0.008757181704303747,0.03024029083813843,0.04363106662867433,0.012960123161363826,-0.005125087919451286,-0.0023423773281442545,7.294056304454839e-05,0.0013452532425399055,0.003539516429622124,0.00045355169563806674,-0.01746681377599431,0.007253353895772464,-0.0020742659669592076,0.0005687687805370096
nse_sectoral_NIFTYMIDCAP100,0.04655298352254401,0.06281255163707289,0.02903021243493482,0.017670643633696498,0.01740255471921921,0.03810191916483158,0.0626255124490258,0.03792395463082726,0.04563338509309867,0.03302355334531161,0.03910268482416632,0.06336702750996967,0.04522895171984637,-0.004385473597011536,-0.001812298556671802,0.005058735194537738,0.018443448342891695,0.020804343842562606,0.02045201738803462,-0.009848859824268818,0.03538390204362461,0.05238672193164737,0.018918446194697416,-0.004385473597011536,-0.001812298556671802,-5.721667599259069e-05,0.0015045626341697186,0.009012701366822005,0.0004284079072014934,-0.023870840100355024,0.005525182050564069,-0.0016033528502304704,-0.002960472855649076
bse_SENSEX,0.04126522618482437,0.05252352475477097,0.02990462675785456,0.012278844616575156,0.015910255548423832,0.028970732466963647,0.04447384313196379,0.03204042167130094,0.03217419670274637,0.026847681653878172,0.029867115732037118,0.04522895171984637,0.045025862354681756,-0.0031987924332721354,-0.0015883683222334155,0.005327015575456756,0.016074264937168948,0.017496943431132058,0.018606920450140736,-0.007992777447635723,0.03166064572109241,0.04419550393746885,0.018527523935406968,-0.0031987924332721354,-0.0015883683222334155,-3.743076743446388e-05,0.001575667213866689,0.007987144410896662,0.00014416017701495058,-0.059151290174996624,-0.003159615464878035,-0.0011669367626629492,-0.0017616273295759856
commodities_GOLD_INR_ETF,-0.00318129882005106,-0.006218182059796207,-0.0013693468953077542,0.0017059267504327584,-0.004145263028484288,-0.00318822567482936,-0.009846091503443405,-0.004182863587079671,0.000373403739174573,-0.004465989274887715,-0.005125087919451286,-0.004385473597011536,-0.0031987924332721354,0.02281005087808513,0.041505162427318,0.019816448943723978,0.027310657695552482,-0.003319813010059714,-0.0001619832920558863,0.0018634529621866164,-0.003220637547227354,-0.006033764108132616,-0.0024727997391053467,0.02281005087808513,0.041505162427318,-8.991932177019795e-05,0.00027801000509941956,0.0015866581316715585,-8.299731750243956e-05,-0.11017503133809192,0.0031499037419394473,0.0009625072604100124,-0.00036088424808409917
commodities_SILVER_INR_ETF,-5.539603005108023e-05,0.0032361759897963577,0.004050178046906557,-0.008831171649197497,-0.008313759433087774,-0.0031335580893788145,-0.010010205887628819,0.001839655173619734,0.03671877264541404,0.0026569719367208625,-0.0023423773281442545,-0.001812298556671802,-0.0015883683222334155,0.041505162427318,0.11442639230389581,0.030825027208643493,0.08612890374673474,-0.004261759202662144,-0.010843391894103218,0.0009115084808436609,-0.00010542362114784339,0.0031819242715455556,0.0048089303771529516,0.041505162427318,0.11442639230389581,-0.00026717760912646054,-0.0010953548755249353,0.006680442782180558,-0.00022457809328988668,-0.31157163816793215,0.020328898534279435,0.002122628978165796,0.0011293530581249348
commodities_GOLD_USD_FUT,0.005655440426807003,0.004663137274367695,-0.00028836331049000505,0.0030226055447256355,0.00045280947774998165,0.003574730185890187,0.003558129888263456,0.0022576419717882383,0.007601750574168007,0.0014178440001405336,0.00334670043905706,0.005058735194537738,0.005327015575456756,0.019816448943723978,0.030825027208643493,0.02755004047878559,0.039204183554454694,0.0054122654437688475,0.004901462894224483,-0.00283073104115802,0.003892961869406051,0.0037969041698491064,0.0005745993420580209,0.019816448943723978,0.030825027208643493,-7.106142409421323e-05,0.0008455212526156694,-0.0007711427793390535,-0.0005259191190384888,-0.18406692621459186,-0.0009768123992969081,-0.00035364437770285767,-0.0009041434591116464
commodities_SILVER_USD_FUT,0.017889237375868467,0.019682637095163935,0.009716945339437146,0.007719856794327521,0.001279847763892032,0.01550989300471765,0.015435438387167261,0.010281200219014207,0.032421512260251556,0.009357602169101151,0.011411186516566403,0.018443448342891695,0.016074264937168948,0.027310657695552482,0.08612890374673474,0.039204183554454694,0.09761753754084279,0.030448284790074647,0.030779442587537155,-0.006355605518792838,0.014988406900090248,0.01858046715198857,0.0033310960497805924,0.027310657695552482,0.08612890374673474,-0.0002114623242486787,0.0002057377792000048,0.008523697408000876,-0.0005846946915625285,-0.23443844325439142,0.0005022743631427143,-0.0012161215717844793,-0.0008022970916025905
commodities_CRUDE_WTI,0.01879486266989988,0.015919732434483948,0.02234879359979794,0.005967506561280523,-0.0035180801109808745,0.015051350877631259,0.013149455182482216,0.0017199863974413964,0.03182560041750093,0.01744316421600825,0.010292595623220787,0.020804343842562606,0.017496943431132058,-0.003319813010059714,-0.004261759202662144,0.0054122654437688475,0.030448284790074647,0.14931419149133082,0.1424148537653187,-0.0026837033599129106,0.012526829960422006,0.01531066228839911,-0.0045261841669430635,-0.003319813010059715,-0.004261759202662148,-0.00029496224789672654,-0.004968886430822045,0.019436641958395888,3.887214920471792e-05,-0.1261686571137647,-0.002315359328031781,-0.0033706170252780143,0.001837519232233382
commodities_CRUDE_BRENT,0.018569799081993528,0.01820072997533348,0.021362134758514992,0.0038735497594039074,-0.004590136153480249,0.014397387504914073,0.012306093470497893,0.0070466855854591955,0.033123708873053714,0.01694597776584142,0.010228880976318097,0.02045201738803462,0.018606920450140736,-0.0001619832920558863,-0.010843391894103218,0.004901462894224483,0.030779442587537155,0.1424148537653187,0.13832881537135794,-0.003321613034901313,0.012607624288541935,0.018087588214097172,-0.0052568065966281455,-0.0001619832920558865,-0.010843391894103212,-0.00031588471464775135,-0.005406339576415826,0.01569986217948047,0.0003088107782019948,-0.0623591417217787,0.008268413121568523,0.0013335009821044443,0.0041357335419162
commodities_USDINR,-0.00872087727833705,-0.012525669435201538,-0.0033914504957834064,-0.0005657742171025716,-0.0038212367080139266,-0.007235196056992662,-0.013632497941169424,-0.008595426992831287,-0.00778482328288474,-0.0064901347118290174,-0.008757181704303747,-0.009848859824268818,-0.007992777447635723,0.0018634529621866164,0.0009115084808436609,-0.00283073104115802,-0.006355605518792838,-0.0026837033599129106,-0.003321613034901313,0.005420610860755705,-0.007463343152298052,-0.011692886469075108,-0.0020709348897998622,0.0018634529621866162,0.0009115084808436606,1.9912159152206965e-05,-0.00039514589515436585,0.0017538507732860328,0.00012030717516895097,0.014169433328748943,-0.0010440898955740624,0.0007837456934302986,-0.0002823393585560287
