date,DII,FII
2014-07-24,-774.0,72500.0
2014-07-25,-784.0,71648.0
2014-07-28,1125.0,72428.0
2014-07-30,628.0,88653.0
2014-07-31,-3616.0,116083.0
2014-08-01,280.0,86105.0
2014-08-04,1855.0,93597.0
2014-08-05,607.0,88325.0
2014-08-06,-619.0,79849.0
2014-08-07,-386.0,68864.0
2014-08-08,4329.0,-3145.0
2014-08-11,4136.0,1166.0
2014-08-12,2056.0,37380.0
2014-08-13,191.0,55835.0
2014-08-14,154.0,71313.0
2014-08-18,-1492.0,76847.0
2014-08-19,-3500.0,88263.0
2014-08-20,-2905.0,95295.0
2014-08-21,-2912.0,91287.0
2014-08-22,-3452.0,102572.0
2014-08-25,-3452.0,107330.0
2014-08-26,-3380.0,114049.0
2014-08-27,-3537.0,124804.0
2014-08-28,-4719.0,196995.0
2014-09-01,-5571.0,196010.0
2014-09-02,-6958.0,200685.0
2014-09-03,-8479.0,192486.0
2014-09-04,-8475.0,177860.0
2014-09-05,-8475.0,163201.0
2014-09-08,-8479.0,168000.0
2014-09-09,-8458.0,161463.0
2014-09-10,-7460.0,141086.0
2014-09-11,-6577.0,141859.0
2014-09-12,-5597.0,129624.0
2014-09-15,-5144.0,95029.0
2014-09-16,-3603.0,91080.0
2014-09-17,-776.0,92372.0
2014-09-18,-1658.0,108249.0
2014-09-19,-3796.0,107194.0
2014-09-22,-3796.0,110716.0
2014-09-23,-3421.0,102787.0
2014-09-24,-2589.0,98624.0
2014-09-25,-2821.0,146470.0
2014-09-26,-1105.0,141095.0
2014-09-29,-671.0,143519.0
2014-09-30,-918.0,149313.0
2014-10-01,-1082.0,151147.0
2014-10-07,-1753.0,155012.0
2014-10-08,-587.0,150058.0
2014-10-09,-1209.0,164383.0
2014-10-10,2847.0,127288.0
2014-10-13,3658.0,106345.0
2014-10-14,3900.0,98611.0
2014-10-16,5463.0,80184.0
2014-10-17,8291.0,106501.0
2014-10-20,6896.0,143063.0
2014-10-21,4727.0,153116.0
2014-10-22,3584.0,171799.0
2014-10-23,3584.0,171801.0
2014-10-27,1416.0,188630.0
2014-10-28,1416.0,202885.0
2014-10-29,120.0,255805.0
2014-10-30,-3164.0,253588.0
2014-10-31,-15222.0,557377.0
2014-11-03,-21069.0,563611.0
2014-11-05,-21039.0,591967.0
2014-11-07,-21558.0,609620.0
2014-11-10,-21602.0,607405.0
2014-11-11,-21573.0,592597.0
2014-11-12,-21644.0,598030.0
2014-11-13,-21645.0,584513.0
2014-11-14,-23794.0,568717.0
2014-11-17,-23792.0,558710.0
2014-11-18,-26895.0,551093.0
2014-11-19,-27824.0,557877.0
2014-11-20,-24774.0,566865.0
2014-11-21,-24501.0,581241.0
2014-11-24,-28578.0,580628.0
2014-11-25,-28213.0,554907.0
2014-11-26,-28644.0,559936.0
2014-11-27,-26910.0,602595.0
2014-11-28,-29361.0,679932.0
2014-12-01,-30630.0,665598.0
