date,TRI_NIFTY_50_TotalReturnsIndex,TRI_NIFTY_BANK_TotalReturnsIndex,TRI_NIFTY_IT_TotalReturnsIndex,TRI_NIFTY_PHARMA_TotalReturnsIndex,TRI_NIFTY_FMCG_TotalReturnsIndex,TRI_NIFTY_AUTO_TotalReturnsIndex,TRI_NIFTY_MIDCAP_100_TotalReturnsIndex,TRI_NIFTY_SMALLCAP_100_TotalReturnsIndex,TRI_NIFTY_REALTY_TotalReturnsIndex,TRI_NIFTY_METAL_TotalReturnsIndex,TRI_NIFTY_ENERGY_TotalReturnsIndex,TRI_NIFTY_FIN_SERVICE_TotalReturnsIndex,TRI_NIFTY_INFRA_TotalReturnsIndex
2001-04-26,1227.57,1057.1,1715.31,848.58,2792.98,,,,,,1121.6,,
2001-04-27,1182.01,1013.12,1527.81,831.2,2782.76,,,,,,1091.43,,
2001-04-30,1207.72,1008.86,1731.1,845.21,2790.37,,,,,,1096.73,,
2001-05-02,1220.85,1028.61,1769.83,842.65,2795.07,,,,,,1107.89,,
2001-05-03,1204.58,1019.53,1793.99,825.89,2792.27,,,,,,1112.59,,
2001-05-04,1213.17,1041.03,1853.99,841.5,2783.7,,,,,,1110.41,,
2001-05-07,1223.0,1065.21,1923.14,842.33,2784.71,,,,,,1107.37,,
2001-05-08,1233.46,1069.58,1982.04,845.04,2804.7,,,,,,1119.55,,
2001-05-09,1234.02,1059.78,1854.77,855.48,2809.48,,,,,,1120.78,,
2001-05-10,1229.4,1095.02,1853.06,854.2,2772.12,,,,,,1123.12,,
2001-05-11,1224.63,1078.26,1856.29,840.95,2762.98,,,,,,1120.78,,
2001-05-14,1224.95,1089.98,1847.51,848.1,2751.59,,,,,,1122.3,,
2001-05-15,1229.78,1082.36,1872.88,837.76,2737.36,,,,,,1136.22,,
2001-05-16,1236.14,1079.34,1853.38,858.08,2752.77,,,,,,1133.8,,
2001-05-17,1261.7,1091.6,1906.75,863.89,2749.7,,,,,,1168.48,,
2001-05-18,1259.39,1080.12,1895.74,863.04,2727.11,,,,,,1174.78,,
2001-05-21,1255.79,1068.5,1909.65,857.42,2685.0,,,,,,1181.41,,
2001-05-22,1254.34,1058.58,1961.24,876.43,2681.3,,,,,,1177.81,,
2001-05-23,1267.81,1065.53,2030.58,877.85,2686.25,,,,,,1182.12,,
2001-05-24,1270.77,1064.55,2027.94,868.73,2683.72,,,,,,1196.11,,
2001-05-25,1263.3,1049.93,2048.72,854.9,2667.42,,,,,,1183.13,,
2001-05-28,1282.97,1061.18,2095.23,866.57,2668.47,,,,,,1199.69,,
